POLICY_NO,CUST_ID,POLICYTYPE,POL_ISSUE_DATE,POL_EFF_DATE,POL_EXPIRY_DATE,MAKE,MODEL,MODEL_YEAR,CHASSIS_NO,USE_OF_VEHICLE,PRODUCT,SUM_INSURED,PREMIUM,DEDUCTABLE
102145921,12714.0,COMP,2020-06-09,2020-06-09,2021-07-08,MG,MG5,2020.0,LSJA36E32LZ030035,PRIVATE,M 2019,40425.0,1615.0,2000
102146980,5173.0,COMP,2020-07-05,2020-07-05,2021-08-04,MAZDA,CX 5,2019.0,JM7KFAWL0K0317185,PRIVATE,M 2019,86000.0,1765.0,2000
102147323,7957.0,COMP,2020-07-14,2020-07-15,2021-08-14,AUDI,A 7,2014.0,WAUSHCFC1EN000794,PRIVATE,M 2019,58400.0,1030.0,500
102147376,9060.0,COMP,2020-07-15,2020-07-16,2021-08-15,KIA,TELLURIDE,2020.0,5XXP381C3LG001708,PRIVATE,M 2019,144000.0,2582.0,2000
102147918,12714.0,COMP,2020-07-28,2020-07-28,2021-08-27,MG,MG6,2020.0,LSJW54U95LG018337,PRIVATE,M 2019,86688.0,1724.0,1000
102150781,7848.0,COMP,2020-10-10,2020-10-10,2021-11-09,PEUGEOT,3008,2019.0,VF3M45GY0KS003766,PRIVATE,M 2019,60000.0,1990.0,1000
102152280,12714.0,COMP,2020-11-21,2020-11-21,2021-12-20,MG,RX5,2019.0,LSJA24W9XKS013839,PRIVATE,M 2019,78750.0,1790.0,2000
102152749,14526.0,COMP,2020-12-08,2020-12-08,2022-01-07,TOYOTA,FORTUNER,2013.0,MHFYU59G1D7026726,PRIVATE,M 2019,47000.0,1400.0,1000
102070642,5495.0,COMP,2016-01-03,2016-01-03,2017-02-02,VOLKSWAGEN,PASSAT,2016.0,WVWAR7A38GC000722,PRIVATE,M 2.5,88500.0,2730.0,2000
102070922,8894.0,COMP,2016-01-05,2016-01-05,2017-02-04,MITSUBISHI,L200,2012.0,MMBJNKB50CD047884.,COMMERCIAL,STANDARD,33600.0,1298.0,2000
102071875,4726.0,COMP,2016-01-17,2016-01-17,2017-02-16,MITSUBISHI,L200,2013.0,MMBJNKA50DD029815,COMMERCIAL,STANDARD,36000.0,1370.0,1000
102074976,8831.0,COMP,2016-02-18,2016-02-18,2017-03-17,TOYOTA,RAV 4,2015.0,JTMDF4EV0FD170159,PRIVATE,M 2.5,104900.0,2650.0,1000
102076429,8045.0,COMP,2016-03-06,2016-03-06,2017-04-05,SUZUKI,SWIFT,2011.0,JS2ZC21S4B5550677,PRIVATE,STANDARD,25000.0,950.0,1000
102077960,4714.0,COMP,2016-03-23,2016-03-23,2017-04-22,HYUNDAI,CRETA WAGON,2016.0,MALC281C4GM067327,PRIVATE,M 2.5,61500.0,3000.0,1000
102079107,693.0,COMP,2016-04-07,2016-04-07,2017-05-06,NISSAN,PATROL,2015.0,JN8AY2NYXF9118265,PRIVATE,M 2.5,174000.0,4345.0,2000
102079707,8045.0,COMP,2016-04-16,2016-04-16,2017-05-15,SUZUKI,SWIFT,2011.0,JS2ZC82S7B6100002,PRIVATE,STANDARD,25000.0,1090.0,500
102081309,2021.0,COMP,2016-05-04,2016-05-04,2017-06-03,MITSUBISHI,PAJERO,2010.0,JMYLRV95WAJ711189,PRIVATE,STANDARD,30000.0,1480.0,2000
102082231,7463.0,COMP,2016-05-17,2016-05-17,2017-06-16,TOYOTA,LAND CRUISER,2013.0,JTMHU09J7D5071157,PRIVATE,STANDARD,88000.0,3070.0,500
102082274,8145.0,COMP,2016-05-18,2016-05-20,2017-06-19,TOYOTA,FORTUNER,2014.0,MHFYX59G5E8057920,PRIVATE,M 2.25,70400.0,1984.0,1000
102083361,2021.0,COMP,2016-05-31,2016-05-31,2017-06-29,TOYOTA,COROLLA,2007.0,JTDBR22E773225656,PRIVATE,STANDARD,12500.0,1140.0,1000
102084848,2021.0,COMP,2016-06-19,2016-06-19,2017-07-18,SUZUKI,APV,2012.0,MHYDN71VXCJ302508,COMMERCIAL,STANDARD,26000.0,1380.0,500
102049415,5568.0,COMP,2015-01-25,2015-01-25,2016-02-24,MITSUBISHI,LANCER,2014.0,JMYSRCY1AEU713570,PRIVATE,STANDARD,42000.0,1640.0,1000
102050464,903.0,COMP,2015-03-10,2015-04-10,2016-04-09,MITSUBISHI,CANTER SINGLE CABIN,2010.0,JL7BCE1JXAK004599,COMMERCIAL,NOT CLASSIFIED,34200.0,1280.0,500
102052336,8045.0,COMP,2015-05-01,2015-05-01,2016-05-31,CHEVROLET,CRUZE,2014.0,1G1PG5SB4E7115682,PRIVATE,STANDARD,60000.0,1910.0,500
102052773,5160.0,COMP,2015-05-10,2015-05-10,2016-06-09,NISSAN,MICRA,2013.0,MDHAK3CR5CG001862,PRIVATE,STANDARD,27000.0,1090.0,2000
102055557,8045.0,COMP,2015-06-22,2015-06-22,2016-07-21,NISSAN,SUNNY,2013.0,MDHBN7ADXDG023027,PRIVATE,STANDARD,36000.0,1622.0,1000
102056706,8045.0,COMP,2015-07-08,2015-07-08,2016-08-07,TOYOTA,YARIS,2011.0,JTDBW9238B1208451,PRIVATE,STANDARD,19000.0,1890.0,2000
102057875,7650.0,COMP,2015-07-26,2015-07-26,2016-08-25,NISSAN,RICH,2014.0,LJNTFF2K5EN002974,COMMERCIAL,STANDARD,35000.0,1200.0,2000
102058444,8045.0,COMP,2015-08-03,2015-08-03,2016-09-02,MAZDA,3,2007.0,JM7BK326771303941,PRIVATE,STANDARD,20000.0,1090.0,1000
102063002,7568.0,COMP,2015-10-06,2015-10-06,2016-11-05,HONDA,ACCORD,2007.0,JHMCM565X7C417683,PRIVATE,STANDARD,17000.0,1090.0,500
102064371,8045.0,COMP,2015-10-21,2015-10-21,2016-11-20,TOYOTA,COROLLA,2011.0,RKLBC42E4B4505473,PRIVATE,STANDARD,40000.0,1370.0,1000
102065569,5495.0,COMP,2015-11-04,2015-11-05,2016-12-04,VOLKSWAGEN,GOLF GTI,2016.0,WVWFK2AU8GW117687,PRIVATE,M 2.5,129800.0,3845.0,500
102066509,8045.0,COMP,2015-11-15,2015-11-15,2016-12-14,NISSAN,ALTIMA,2014.0,1N4AL3AP8EC142018,PRIVATE,STANDARD,75000.0,3065.0,500
102068433,8045.0,COMP,2015-12-07,2015-12-07,2017-01-06,NISSAN,TIIDA,2012.0,3N1BC1C60CK255835,PRIVATE,STANDARD,28000.0,1000.0,2000
102068736,8045.0,COMP,2015-12-10,2015-12-10,2017-01-09,NISSAN,URVAN VAN,2013.0,JN6AE51S0DX111452,COMMERCIAL,STANDARD,40000.0,1480.0,2000
102070078,8045.0,COMP,2015-12-27,2015-12-27,2017-01-26,TOYOTA,HILUX,2008.0,MR0CX12G080030220,COMMERCIAL,STANDARD,30000.0,950.0,2000
102089289,903.0,COMP,2016-08-15,2016-08-15,2017-09-14,NISSAN,TIIDA,2011.0,3N1BC1A75BL388921,PRIVATE,STANDARD,25000.0,1140.0,1000
102095540,1002.0,COMP,2016-11-14,2016-11-14,2017-12-13,SUZUKI,GRAND VITARA,2011.0,JS3TD04V5B4612652,PRIVATE,STANDARD,29900.0,1240.0,500
102099116,4215.0,COMP,2016-12-29,2016-12-29,2018-01-28,FORD,FUSION,2012.0,3FAHP0GA3CR385769,PRIVATE,STANDARD,30000.0,1120.0,1000
102101059,7852.0,COMP,2017-02-08,2017-02-10,2018-03-09,AUDI,A 3,2016.0,WAUACJFF2G1041972,PRIVATE,M 2.5,105000.0,3260.0,2000
102102606,4215.0,COMP,2017-03-14,2017-03-14,2018-04-13,LAMBORGHINI,HURACAN,2015.0,ZHWEC1ZF8FLA00596,PRIVATE,STANDARD,736000.0,36770.0,1000
102102845,5731.0,COMP,2017-03-20,2017-04-02,2018-05-01,TOYOTA,YARIS,2011.0,JTDKW9231B5171249,PRIVATE,NOT CLASSIFIED,13000.0,1410.0,1000
102105646,9036.0,COMP,2017-05-25,2017-05-25,2018-06-24,TOYOTA,COROLLA,2015.0,RKLBB9HE5F5129583,PRIVATE,STANDARD,41200.0,3110.0,2000
102105901,3202.0,COMP,2017-06-01,2017-06-01,2018-06-30,MITSUBISHI,OUTLANDER,2009.0,JMYXTCW5W9Z701518,PRIVATE,STANDARD,23000.0,2590.0,1000
102106679,9504.0,COMP,2017-06-21,2017-06-21,2018-07-20,PEUGEOT,308,2016.0,VF3L35GY7GS004192,PRIVATE,M 2.5,86200.0,2351.0,1000
102107641,4726.0,COMP,2017-07-12,2017-07-13,2018-08-12,MAZDA,CX 5,2016.0,JM8KE4W77G0369892,PRIVATE,M 2.5,85000.0,2660.0,500
102114630,8894.0,COMP,2018-01-17,2018-01-17,2019-02-16,CHEVROLET,TRAVERSE,2018.0,1GNEV8KWXJJ121080,PRIVATE,M 2.5,145500.0,4113.0,500
102116455,7463.0,COMP,2018-03-06,2018-03-06,2019-04-05,NISSAN,ALTIMA,2018.0,1N4AL3A95JC100014,PRIVATE,M 2.5,78900.0,3988.0,1000
102121651,5568.0,COMP,2018-08-08,2018-08-08,2019-09-07,TOYOTA,YARIS,2015.0,MR2KW9F32F1083889,PRIVATE,STANDARD,30000.0,1590.0,500
102121947,5798.0,COMP,2018-08-19,2018-08-25,2019-09-24,MITSUBISHI,PAJERO,2014.0,JMYLRV95WEJ707298,PRIVATE,M 2.5,51200.0,2350.0,2000
102122479,2108.0,COMP,2018-09-09,2018-11-07,2019-12-06,SUZUKI,CIAZ,2016.0,MA3VC4A15GA149128,PRIVATE,STANDARD,29440.0,1410.0,1000
102124742,7957.0,COMP,2018-11-27,2018-11-27,2019-12-26,FORD,EDGE,2014.0,2FMDK3GC1EBB26527,PRIVATE,STANDARD,45000.0,1840.0,1000
102126937,7134.0,COMP,2019-01-31,2019-01-31,2020-02-28,NISSAN,X-TRAIL,2013.0,JN8BT0TY9DW000846,PRIVATE,NOT CLASSIFIED,30000.0,1610.0,1000
102130237,8008.0,COMP,2019-05-01,2019-05-01,2020-05-31,TOYOTA,HIACE,2016.0,JTGRX12P6G8046790,COMMERCIAL,STANDARD,56510.0,2235.0,1000
102133684,7957.0,COMP,2019-07-31,2019-07-31,2020-08-30,NISSAN,PATROL,2017.0,JN8BY2NY5H9013835,PRIVATE,M 2019,112336.0,2013.0,2000
102134731,7957.0,COMP,2019-08-28,2019-08-28,2020-09-27,CHEVROLET,SPARK,2012.0,KL1CJ6B19CC584783,PRIVATE,M 2019,8000.0,1160.0,1000
102135990,7644.0,COMP,2019-10-01,2019-10-01,2020-10-31,NISSAN,MAXIMA SALOON,2011.0,1N4AA5AP4BC824679,PRIVATE,M 2019,23511.0,1218.0,500
102136690,7957.0,COMP,2019-10-20,2019-10-22,2020-11-21,BMW,745 (I),2011.0,WBAKB8109BC345400,PRIVATE,M 2019,54000.0,1265.0,2000
102129614/1,8894.0,COMP,2019-11-26,2019-04-10,2020-05-09,NISSAN,SUNNY,2016.0,MDHBN7AD1GG744423,PRIVATE,M 2019,26000.0,-246.0,2000
102138742,13400.0,COMP,2019-12-15,2019-12-15,2021-01-14,BAJAJ,PULSAR,2017.0,MD2A12DY9HCF09296,PRIVATE,STANDARD,3840.0,1365.0,1000
102140468,7463.0,COMP,2020-01-27,2020-01-27,2021-02-26,TCM,FVD20,2011.0,2U906832,COMMERCIAL,STANDARD,20000.0,1420.0,500
102140469,5173.0,COMP,2020-01-27,2020-01-27,2021-02-26,MG,MG6,2014.0,LSJW24G9XES010173  ,PRIVATE,M 2019,24000.0,1290.0,500
102140658,7620.0,COMP,2020-01-30,2020-01-30,2021-03-01,NISSAN,URVAN VAN,2015.0,JN6BE6BS9F9001533,COMMERCIAL,M 2019,27853.0,1690.0,2000
102140755,7957.0,COMP,2020-02-02,2020-02-02,2021-03-01,AUDI,A 7,2016.0,WAUSHCFC5GN040265,PRIVATE,M 2019,85000.0,1520.0,1000
102141486,7848.0,COMP,2020-02-17,2020-02-17,2021-03-16,PEUGEOT,3008,2018.0,VF3M45GY2JS004223,PRIVATE,M 2.5,64000.0,1590.0,1000
102141522,5568.0,COMP,2020-02-18,2020-02-18,2021-03-17,TOYOTA,RAV 4,2018.0,JTMDF4EV3JJ223771,PRIVATE,M 2019,90000.0,1990.0,1000
102144292,181.0,COMP,2020-04-29,2020-05-02,2021-06-01,TOYOTA,HIACE,2013.0,JTFHX02P2D0073392,COMMERCIAL,NOT CLASSIFIED,20480.0,1550.0,1000
102145579,807.0,COMP,2020-06-01,2020-06-01,2021-06-30,NISSAN,PATROL,2019.0,JN8FY1JY0KX015206,PRIVATE,M 2019,110000.0,1970.0,1000
102145949,5568.0,COMP,2020-06-10,2020-06-10,2021-07-09,BMW,520 (I),2019.0,WBAJA1A04KWW02290,PRIVATE,M 2019,185000.0,3690.0,500
102147094,9558.0,COMP,2020-07-08,2020-07-08,2021-08-07,KIA,SPORTAGE,2020.0,U5YPH8140LL725076,PRIVATE,M 2019,75500.0,1765.0,1000
102147481,7957.0,COMP,2020-07-19,2020-07-18,2021-08-17,JEEP,WRANGLER,2019.0,1C4HJXEG1KW586593,PRIVATE,M 2019,99999.0,1970.99,2000
102150071,10304.0,COMP,2020-09-22,2020-09-22,2021-10-21,LEXUS,NX 300,2018.0,JTJBARBZ1J2175009,PRIVATE,M 2019,140000.0,3140.0,500
102151748,14259.0,COMP,2020-11-05,2020-11-27,2021-12-26,RANGE ROVER,AUTOBIOGRAPHY,2015.0,SALGA2EF2FA219087,PRIVATE,M 2.25,215000.0,6590.0,500
102152058,5173.0,COMP,2020-11-15,2020-11-15,2021-12-14,CHEVROLET,TRAVERSE,2020.0,1GNER8KW8LJ125281,PRIVATE,M 2019,100000.0,1990.0,500
102074610,4051.0,COMP,2016-02-15,2016-03-27,2017-03-26,TOYOTA,YARIS,2011.0,JTDBW9239B4053620,PRIVATE,NOT CLASSIFIED,17600.0,1090.0,1000
102075619,9558.0,COMP,2016-02-25,2016-02-25,2017-03-24,RENAULT,DUSTER,2015.0,VF1HSRCA8FA514394,PRIVATE,STANDARD,40000.0,1690.0,2000
102075714,8045.0,COMP,2016-02-27,2016-02-27,2017-03-26,NISSAN,ALTIMA,2008.0,1N4AL21D18C215704,PRIVATE,STANDARD,17000.0,1090.0,1000
102076646,7838.0,COMP,2016-03-08,2016-04-05,2017-04-04,TOYOTA,PRADO,2015.0,JTEJU3FJ6F5067221,PRIVATE,M 2.5,140000.0,3620.0,1000
102077944,8831.0,COMP,2016-03-23,2016-03-23,2017-04-22,AUDI,Q 3,2015.0,WA1BYAFS4FR009797,PRIVATE,M 2.5,117500.0,2744.0,500
102081190,8045.0,COMP,2016-05-03,2016-05-03,2017-06-02,TOYOTA,COROLLA,2015.0,RKLBB9HE1F5058530,PRIVATE,STANDARD,38000.0,1640.0,2000
102081520,8045.0,COMP,2016-05-08,2016-05-08,2017-06-07,MERCEDES,A 45,2015.0,WDDBF5CB6FJ292988,PRIVATE,M 2.5,160000.0,3890.0,1000
102081696,8045.0,COMP,2016-05-10,2016-05-10,2017-06-09,NISSAN,TIIDA,2009.0,JN1CC13C39T026879,PRIVATE,STANDARD,15000.0,950.0,1000
102082396,191.0,COMP,2016-05-19,2016-05-19,2017-06-18,TOYOTA,CAMRY,2009.0,6T1BE42K89X555959,PRIVATE,NOT CLASSIFIED,24000.0,1240.0,1000
102082489,8045.0,COMP,2016-05-21,2016-05-21,2017-06-20,TOYOTA,PRADO,2010.0,JTEBU3FJ2A5004727,PRIVATE,STANDARD,60000.0,1970.0,500
102082858,3202.0,COMP,2016-05-25,2016-06-26,2017-06-25,DAEWOO,BF106,2009.0,LGLDD5A369D001207,PRIVATE,STANDARD,49760.0,4730.0,1000
102083010,4776.0,COMP,2016-05-26,2016-05-28,2017-06-27,TOYOTA,HIACE,2011.0,JTFPX22P5B0026393,COMMERCIAL,STANDARD,32000.0,1230.0,500
102049681,1894.0,COMP,2015-02-04,2015-03-22,2016-03-21,VOLKSWAGEN,JETTA,2010.0,WVWSU11K5AM069036,PRIVATE,NOT CLASSIFIED,32000.0,1370.0,500
102051502,8111.0,COMP,2015-04-12,2015-04-12,2016-05-11,SAIC,MG 350,2013.0,LSJA16E30DG011213,PRIVATE,STANDARD,30000.0,1100.0,2000
102052382,583.0,COMP,2015-05-03,2015-05-03,2016-06-02,TOYOTA,LAND CRUISER GXR,2014.0,JTMHU09J7E4083168,PRIVATE,M 2.25,190000.0,4655.0,2000
102052651,5160.0,COMP,2015-05-07,2015-05-07,2016-06-06,KIA,RIO,2012.0,KNADN512XC6734174,PRIVATE,STANDARD,28000.0,1270.0,1000
102053763,7325.0,COMP,2015-05-27,2015-07-02,2016-07-01,TOYOTA,CAMRY,2008.0,4T1BE46K18U225795,PRIVATE,NOT CLASSIFIED,32000.0,1070.0,1000
102054659,8045.0,COMP,2015-06-09,2015-06-09,2016-07-08,PORSCHE,CAYENNE GTS,2009.0,WP1ZZZ9PZ9LA66220.,PRIVATE,STANDARD,50000.0,1590.0,1000
102057256,8045.0,COMP,2015-07-15,2015-07-15,2016-08-14,KIA,SOUL,2011.0,KNDJT2A27B7717190,PRIVATE,STANDARD,40000.0,1250.0,2000
102058035,7650.0,COMP,2015-07-28,2015-07-28,2016-08-27,NISSAN,TIIDA,2006.0,JN1CC11C76T102649,PRIVATE,STANDARD,13000.0,1040.0,2000
102060022,8045.0,COMP,2015-08-25,2015-08-25,2016-09-24,KIA,PICANTO,2013.0,KNABX5122DT352564,PRIVATE,STANDARD,21000.0,1090.0,1000
102061177,8876.0,COMP,2015-09-10,2015-09-10,2016-10-09,BMW,525 (I),2006.0,WBANE51096B976727,PRIVATE,STANDARD,30000.0,810.0,2000
102061493,6337.0,COMP,2015-09-15,2015-09-15,2016-10-14,JAGUAR,XJ,2011.0,SAJAA26F2BLV18333,PRIVATE,STANDARD,152000.0,4393.0,1000
102062999,3202.0,COMP,2015-10-06,2015-10-06,2016-11-05,MITSUBISHI,CANTER,2009.0,JL7BCE1J69K008757,COMMERCIAL,STANDARD,48000.0,1764.0,500
102064536,8045.0,COMP,2015-10-23,2015-10-23,2016-11-22,BMW,325 (I),2009.0,WBAPH11089A167755,PRIVATE,STANDARD,65000.0,2695.0,500
102065302,2021.0,COMP,2015-11-01,2015-11-02,2016-12-01,KIA,SORENTO,2015.0,KNAKU8117F5521356,PRIVATE,M 2.5,68000.0,1930.0,2000
102068762,3702.0,COMP,2015-12-10,2016-01-11,2017-01-10,TOYOTA,COROLLA,2012.0,RKLBC42E7C4511057,PRIVATE,NOT CLASSIFIED,36800.0,1334.0,500
102068944,5160.0,COMP,2015-12-13,2015-12-13,2017-01-12,TOYOTA,YARIS,2008.0,JTDBW923784024609,PRIVATE,STANDARD,16000.0,1090.0,500
102085060,8045.0,COMP,2016-06-21,2016-06-21,2017-07-20,MITSUBISHI,PAJERO,2007.0,JMYLRV93W7J712778,PRIVATE,STANDARD,23000.0,1250.0,1000
102085264,8045.0,COMP,2016-06-22,2016-06-22,2017-07-21,HONDA,ACCORD,2008.0,JHMCP26328C418154,PRIVATE,STANDARD,24000.0,1140.0,500
102086065,8045.0,COMP,2016-07-02,2016-07-02,2017-08-01,VOLKSWAGEN,GOLF R,2016.0,WVWGR2AU4GW000270,PRIVATE,M 2.5,156000.0,5360.0,1000
102086960,8045.0,COMP,2016-07-16,2016-07-16,2017-08-15,TOYOTA,YARIS,2010.0,JTDKW9239A5145481,PRIVATE,STANDARD,15000.0,1140.0,2000
102087419,6656.0,COMP,2016-07-20,2016-07-25,2017-08-24,MERCURY,MOUNTAINEER,2008.0,1MEHM42W98G611582,PRIVATE,STANDARD,20000.0,1240.0,2000
102088501,1935.0,COMP,2016-08-03,2016-08-03,2017-09-02,NISSAN,SENTRA,2013.0,MNTBB7A9XD6001287,PRIVATE,STANDARD,30000.0,1150.0,1000
102088814,7124.0,COMP,2016-08-08,2016-08-09,2017-09-08,HONDA,ACCORD,2012.0,1HGCP2636CA615514,PRIVATE,STANDARD,45000.0,1735.0,1000
102088922,3202.0,COMP,2016-08-09,2016-08-09,2017-09-08,TOYOTA,PRADO,2014.0,JTEBX9FJ6EK172386,PRIVATE,STANDARD,92000.0,2980.0,500
102090023,4714.0,COMP,2016-08-24,2016-08-24,2017-09-23,MITSUBISHI,MIRAGE,2014.0,MMBXTA03AEH023611,PRIVATE,STANDARD,30000.0,1330.0,500
102090864,7134.0,COMP,2016-09-05,2016-09-05,2017-10-04,TOYOTA,LAND CRUISER,2014.0,JTMHX09J0E4075792,PRIVATE,STANDARD,125000.0,4180.0,2000
102092048,6126.0,COMP,2016-09-25,2016-10-24,2017-10-23,TOYOTA,HILUX,2011.0,MR0EX12G5B2047826,COMMERCIAL,NOT CLASSIFIED,24000.0,1675.0,500
102094420,5495.0,COMP,2016-10-30,2016-10-30,2017-11-29,VOLKSWAGEN,GOLF GTI,2016.0,WVWFM2AU8GW328320,PRIVATE,M 2.5,147126.0,7470.0,500
102096282,3304.0,COMP,2016-11-22,2016-11-22,2017-12-21,TOYOTA,YARIS,2013.0,JTDKW9D35DD539244,PRIVATE,STANDARD,20468.0,1140.0,2000
102097603,903.0,COMP,2016-12-12,2016-12-12,2018-01-11,NISSAN,XTERRA,2011.0,5N1AN0N67BC519708,PRIVATE,STANDARD,48000.0,1540.0,500
102098308,4345.0,COMP,2016-12-20,2016-12-20,2018-01-19,TOYOTA,FORTUNER,2011.0,MHFYX59G7B8025661,PRIVATE,STANDARD,34000.0,1400.0,500
102098547,10689.0,COMP,2016-12-25,2017-01-14,2018-02-13,TOYOTA,CAMRY,2008.0,6T1BE42K48X468381,PRIVATE,STANDARD,17600.0,1240.0,2000
102101334,4345.0,COMP,2017-02-14,2017-02-14,2018-03-13,KIA,RIO,2013.0,KNADN5123D6804552,PRIVATE,STANDARD,24000.0,1610.0,500
102112687,1603.0,COMP,2017-11-29,2017-11-29,2018-12-28,MINI,COOPER COUNTRYMAN,2018.0,WMWYT1101J3D60408,PRIVATE,M 2.5,165600.0,4365.0,1000
102113657,5160.0,COMP,2017-12-24,2017-12-24,2019-01-23,TOYOTA,FORTUNER,2018.0,MHFKU8FSXJ0174474,PRIVATE,M 2.5,127999.0,3448.0,1000
102113723,4714.0,COMP,2017-12-25,2017-12-25,2019-01-24,NISSAN,ALTIMA,2010.0,1N4AL2A98AC151551,PRIVATE,STANDARD,20000.0,1360.0,2000
102114797,3577.0,COMP,2018-01-22,2018-03-27,2019-04-26,JAGUAR,XF,2015.0,SAJAA05N3FPU57618,PRIVATE,M 2.5,96768.0,2756.0,500
102116325,5160.0,COMP,2018-03-04,2018-03-04,2019-04-03,KIA,SPORTAGE,2011.0,KNAPB8116B7091801,PRIVATE,STANDARD,35000.0,1840.0,1000
102116718,4345.0,COMP,2018-03-12,2018-03-14,2019-04-13,AUDI,Q 5,2010.0,WAUCFC8R6AA087542,PRIVATE,STANDARD,52000.0,2290.0,500
